0.00,0.00,0.559
0.00,0.05,0.503
0.00,0.10,0.449
0.00,0.15,0.384
0.00,0.20,0.384
0.00,0.25,0.384
0.00,0.30,0.384
0.00,0.35,0.384
0.00,0.40,0.384
0.00,0.45,0.384
0.00,0.50,0.384
0.00,0.55,0.384
0.00,0.60,0.384
0.00,0.65,0.384
0.00,0.70,0.384
0.00,0.75,0.384
0.00,0.80,0.384
0.00,0.85,0.384
0.00,0.90,0.384
0.00,0.95,0.384
0.05,0.00,0.570
0.05,0.05,0.621
0.05,0.10,0.529
0.05,0.15,0.432
0.05,0.20,0.400
0.05,0.25,0.385
0.05,0.30,0.384
0.05,0.35,0.384
0.05,0.40,0.384
0.05,0.45,0.384
0.05,0.50,0.384
0.05,0.55,0.384
0.05,0.60,0.384
0.05,0.65,0.384
0.05,0.70,0.384
0.05,0.75,0.384
0.05,0.80,0.384
0.05,0.85,0.384
0.05,0.90,0.384
0.05,0.95,0.384
0.10,0.00,0.570
0.10,0.05,0.714
0.10,0.10,0.612
0.10,0.15,0.507
0.10,0.20,0.492
0.10,0.25,0.401
0.10,0.30,0.386
0.10,0.35,0.384
0.10,0.40,0.384
0.10,0.45,0.384
0.10,0.50,0.384
0.10,0.55,0.384
0.10,0.60,0.384
0.10,0.65,0.384
0.10,0.70,0.384
0.10,0.75,0.384
0.10,0.80,0.384
0.10,0.85,0.384
0.10,0.90,0.384
0.10,0.95,0.384
0.15,0.00,0.570
0.15,0.05,0.755
0.15,0.10,0.705
0.15,0.15,0.600
0.15,0.20,0.522
0.15,0.25,0.504
0.15,0.30,0.501
0.15,0.35,0.448
0.15,0.40,0.393
0.15,0.45,0.385
0.15,0.50,0.384
0.15,0.55,0.384
0.15,0.60,0.384
0.15,0.65,0.384
0.15,0.70,0.384
0.15,0.75,0.384
0.15,0.80,0.384
0.15,0.85,0.384
0.15,0.90,0.384
0.15,0.95,0.384
0.20,0.00,0.570
0.20,0.05,0.762
0.20,0.10,0.736
0.20,0.15,0.644
0.20,0.20,0.579
0.20,0.25,0.530
0.20,0.30,0.529
0.20,0.35,0.529
0.20,0.40,0.529
0.20,0.45,0.413
0.20,0.50,0.393
0.20,0.55,0.384
0.20,0.60,0.384
0.20,0.65,0.384
0.20,0.70,0.384
0.20,0.75,0.384
0.20,0.80,0.384
0.20,0.85,0.384
0.20,0.90,0.384
0.20,0.95,0.384
0.25,0.00,0.570
0.25,0.05,0.760
0.25,0.10,0.746
0.25,0.15,0.685
0.25,0.20,0.633
0.25,0.25,0.615
0.25,0.30,0.609
0.25,0.35,0.609
0.25,0.40,0.609
0.25,0.45,0.477
0.25,0.50,0.465
0.25,0.55,0.395
0.25,0.60,0.384
0.25,0.65,0.384
0.25,0.70,0.384
0.25,0.75,0.384
0.25,0.80,0.384
0.25,0.85,0.384
0.25,0.90,0.384
0.25,0.95,0.384
0.30,0.00,0.570
0.30,0.05,0.760
0.30,0.10,0.751
0.30,0.15,0.746
0.30,0.20,0.717
0.30,0.25,0.684
0.30,0.30,0.673
0.30,0.35,0.671
0.30,0.40,0.671
0.30,0.45,0.576
0.30,0.50,0.576
0.30,0.55,0.532
0.30,0.60,0.400
0.30,0.65,0.400
0.30,0.70,0.384
0.30,0.75,0.384
0.30,0.80,0.384
0.30,0.85,0.384
0.30,0.90,0.384
0.30,0.95,0.384
0.35,0.00,0.570
0.35,0.05,0.760
0.35,0.10,0.755
0.35,0.15,0.760
0.35,0.20,0.722
0.35,0.25,0.697
0.35,0.30,0.697
0.35,0.35,0.678
0.35,0.40,0.678
0.35,0.45,0.678
0.35,0.50,0.678
0.35,0.55,0.640
0.35,0.60,0.581
0.35,0.65,0.510
0.35,0.70,0.384
0.35,0.75,0.384
0.35,0.80,0.384
0.35,0.85,0.384
0.35,0.90,0.384
0.35,0.95,0.384
0.40,0.00,0.570
0.40,0.05,0.760
0.40,0.10,0.755
0.40,0.15,0.761
0.40,0.20,0.761
0.40,0.25,0.733
0.40,0.30,0.733
0.40,0.35,0.699
0.40,0.40,0.699
0.40,0.45,0.699
0.40,0.50,0.699
0.40,0.55,0.662
0.40,0.60,0.595
0.40,0.65,0.523
0.40,0.70,0.384
0.40,0.75,0.384
0.40,0.80,0.384
0.40,0.85,0.384
0.40,0.90,0.384
0.40,0.95,0.384
0.45,0.00,0.570
0.45,0.05,0.760
0.45,0.10,0.755
0.45,0.15,0.765
0.45,0.20,0.795
0.45,0.25,0.788
0.45,0.30,0.782
0.45,0.35,0.701
0.45,0.40,0.701
0.45,0.45,0.701
0.45,0.50,0.698
0.45,0.55,0.660
0.45,0.60,0.598
0.45,0.65,0.524
0.45,0.70,0.383
0.45,0.75,0.383
0.45,0.80,0.384
0.45,0.85,0.384
0.45,0.90,0.384
0.45,0.95,0.384
0.50,0.00,0.570
0.50,0.05,0.760
0.50,0.10,0.755
0.50,0.15,0.765
0.50,0.20,0.795
0.50,0.25,0.788
0.50,0.30,0.782
0.50,0.35,0.726
0.50,0.40,0.726
0.50,0.45,0.726
0.50,0.50,0.723
